,Unnamed: 0,address,label,name_tag
0,0,232629023,1,8
1,1,230389796,1,1
2,2,17387772,1,1
3,3,232947878,1,1
4,4,16754007,1,1
5,5,231990430,1,1
6,6,232014511,1,1
7,7,24141114,1,1
8,8,62195631,1,0
9,9,24155910,1,1
10,10,16742787,1,1
11,11,231990435,1,1
12,12,17796937,1,1
13,13,184703182,1,8
14,14,16753577,1,1
15,15,232345692,1,1
16,16,3205536,1,1
17,17,115643001,1,9
18,18,310048974,1,9
19,19,310399847,1,9
20,20,286784958,1,9
21,21,289269312,1,9
22,22,258624857,1,9
23,23,309924066,1,9
24,24,286784427,1,9
25,25,289270308,1,9
26,26,312106094,1,9
27,27,312334552,1,9
28,28,212659519,1,9
29,29,286654752,1,9
30,30,313900565,1,9
31,31,296057714,1,9
32,32,310043610,1,10
33,33,286756215,1,9
34,34,310524772,1,9
35,35,244662723,1,15
36,36,245140933,1,15
37,37,245294955,1,15
38,38,245420039,1,15
39,39,245715541,1,15
40,40,27742555,1,19
41,41,245146113,1,16
42,42,246036358,1,15
43,43,245712851,1,17
44,44,245146107,1,16
45,45,245231973,1,15
46,46,86739424,1,28
47,47,87690267,1,27
48,48,45751341,1,28
49,49,16809915,1,27
50,50,87626508,1,27
51,51,93259603,1,28
52,52,86739423,1,28
53,53,279424082,1,28
54,54,69745184,1,27
55,55,86706815,1,27
56,56,279004203,1,27
57,57,44066252,1,27
58,58,86710958,1,28
59,59,96258779,1,27
60,60,258961960,1,27
61,61,86704946,1,27
62,62,212738074,1,27
63,63,86761325,1,27
64,64,279470784,1,27
65,65,86738862,1,28
66,66,93259563,1,27
67,67,114771159,1,27
68,68,86705550,1,28
69,69,86706819,1,27
70,70,44995911,1,28
71,71,61711037,1,27
72,72,97107057,1,27
73,73,114770297,1,27
74,74,87602051,1,27
75,75,6436559,1,27
76,76,223909678,1,42
77,77,225878097,1,42
78,78,224256963,1,43
79,79,225877497,1,41
80,80,24269083,1,43
81,81,224627785,1,43
82,82,224209550,1,43
83,83,226364300,1,43
84,84,121712094,1,50
85,85,8967439,1,51
86,86,63851320,1,51
87,87,49767327,1,51
88,88,121712062,1,51
89,89,94339214,1,55
90,90,94688507,1,55
91,91,94371218,1,55
92,92,94167767,1,55
93,93,94324993,1,55
94,94,94654139,1,57
95,95,94299047,1,55
96,96,94654164,1,55
97,97,99222000,1,57
98,98,94658603,1,55
99,99,84370891,1,55
100,100,94654155,1,55
101,101,94654125,1,57
102,102,94299574,1,55
103,103,94654161,1,55
104,104,94653853,1,57
105,105,94371221,1,55
106,106,94654140,1,57
107,107,94299098,1,55
108,108,94654271,1,57
109,109,94654153,1,55
110,110,94654142,1,57
111,111,94654134,1,57
112,112,94371544,1,55
113,113,94654057,1,57
114,114,94189346,1,55
115,115,98734847,1,55
116,116,94371239,1,55
117,117,94654137,1,57
118,118,94371210,1,55
119,119,94654263,1,55
120,120,98728644,1,55
121,121,94783375,1,57
122,122,94654120,1,57
123,123,94654136,1,57
124,124,96564456,1,55
125,125,94654132,1,57
126,126,94184649,1,55
127,127,94118195,1,55
128,128,94654262,1,55
129,129,94654272,1,57
130,130,98623109,1,55
131,131,94189129,1,55
132,132,94654128,1,57
133,133,94654162,1,55
134,134,94003168,1,55
135,135,94372607,1,55
136,136,94654133,1,57
137,137,94653823,1,55
138,138,94653822,1,55
139,139,94051990,1,55
140,140,94299051,1,55
141,141,94654255,1,55
142,142,94184658,1,55
143,143,94299108,1,55
144,144,94372683,1,57
145,145,94654135,1,57
146,146,94654261,1,55
147,147,94654122,1,57
148,148,94371247,1,55
149,149,94370929,1,57
150,150,98623027,1,57
151,151,94370918,1,55
152,152,115107642,1,55
153,153,98623628,1,55
154,154,94299041,1,55
155,155,94654172,1,55
156,156,94654174,1,55
157,157,94654166,1,55
158,158,94654126,1,57
159,159,94654171,1,55
160,160,94370482,1,55
161,161,94654138,1,56
162,162,94653825,1,55
163,163,94370493,1,55
164,164,115109562,1,57
165,165,94654144,1,57
166,166,94654124,1,57
167,167,94654156,1,55
168,168,99222002,1,56
169,169,94653854,1,55
170,170,94371031,1,55
171,171,94682082,1,56
172,172,94371233,1,55
173,173,94654269,1,55
174,174,94654256,1,56
175,175,94682526,1,55
176,176,94654160,1,55
177,177,94654130,1,57
178,178,94653835,1,55
179,179,94654257,1,55
180,180,94654259,1,55
181,181,94654258,1,55
182,182,94118150,1,56
183,183,94654154,1,55
184,184,94654163,1,55
185,185,94654176,1,55
186,186,99222013,1,55
187,187,94654067,1,55
188,188,115108562,1,56
189,189,94654168,1,55
190,190,94654129,1,57
